Relation,PromptTemplate
BandHasMember,"{subject_entity}, BandHasMember:"
CityLocatedAtRiver,"{subject_entity}, CityLocatedAtRiver:"
CompanyHasParentOrganisation,"{subject_entity}, CompanyHasParentOrganisation:"
CountryBordersCountry,"{subject_entity}, CountryBordersCountry:"
CountryHasOfficialLanguage,"{subject_entity}, CountryHasOfficialLanguage:"
CountryHasStates,"{subject_entity}, CountryHasStates:"
FootballerPlaysPosition,"{subject_entity}, FootballerPlaysPosition:"
PersonCauseOfDeath,"{subject_entity}, PersonCauseOfDeath:"
PersonHasAutobiography,"{subject_entity}, PersonHasAutobiography:"
PersonHasEmployer,"{subject_entity}, PersonHasEmployer:"
PersonHasNoblePrize,"{subject_entity}, PersonHasNoblePrize:"
PersonHasNumberOfChildren,"{subject_entity}, PersonHasNumberOfChildren:"
PersonHasPlaceOfDeath,"{subject_entity}, PersonHasPlaceOfDeath:"
PersonHasProfession,"{subject_entity}, PersonHasProfession:"
PersonHasSpouse,"{subject_entity}, PersonHasSpouse:"
PersonPlaysInstrument,"{subject_entity}, PersonPlaysInstrument:"
PersonSpeaksLanguage,"{subject_entity}, PersonSpeaksLanguag:"
RiverBasinsCountry,"{subject_entity}, RiverBasinsCountry:"
SeriesHasNumberOfEpisodes,"{subject_entity}, SeriesHasNumberOfEpisodes:"
StateBordersState,"{subject_entity}, StateBordersState:"
CompoundHasParts,"{subject_entity}, CompoundHasParts:"
